n;t_paso1;t_paso2;t_paso3;t_paso5
655289;0,083700;0,950800;0,009700;4984,962800
988231;0,101600;0,761900;0,008900;3970,012700
743363;0,089300;0,600500;0,008200;2907,203300
596489;0,081400;0,911400;0,009900;4957,786100
760103;0,094000;0,925600;0,020000;5719,046400
981569;0,139500;1,169700;0,010700;4219,378400
1030741;0,102900;0,947400;0,009900;4918,503400
704393;0,085900;0,733200;0,009200;3734,031400
703657;0,176400;1,313400;0,015200;2872,163700
953039;0,193200;1,340400;0,015000;4037,261100
822713;0,101000;0,782700;0,009000;3890,125700
815453;0,169900;1,292700;0,016300;3868,242700
846397;0,095000;1,197300;0,012600;6443,198500
846403;0,097000;1,023000;0,010400;5656,237600
601439;0,082800;0,629900;0,008300;2722,520200
951641;0,101600;0,689000;0,008900;3939,249000
806041;0,096400;0,704700;0,008900;3902,685200
554899;0,079000;0,686700;0,008900;3550,742700
670627;0,084400;0,840700;0,009500;5055,076000
541027;0,086700;0,864800;0,009200;3524,719400
682597;0,086800;0,622200;0,008300;2928,893500
528509;0,074800;0,766100;0,008400;2663,561700
627139;0,094200;0,827300;0,009600;4358,012300
889367;0,097200;0,859400;0,009000;3978,180200
693691;0,088200;2,179800;0,015000;22151,300700
693569;0,086700;0,765600;0,009100;4180,685900
965161;0,099100;0,605000;0,009700;4792,650700
670727;0,085000;0,696300;0,015900;2834,925500
824647;0,102100;0,885800;0,009200;4426,221500
651221;0,082800;0,667700;0,009100;3687,400300
831433;0,108000;0,853500;0,009800;5309,338400
879689;0,771000;0,898800;0,009900;5719,381500
855269;0,102900;0,727000;0,009700;5360,326500
708403;0,095700;0,827300;0,009300;4227,047600
583417;0,078900;0,542800;0,008900;3568,982500
938831;0,118300;1,064900;0,010100;5824,531000
688087;0,086400;0,639200;0,008300;2827,125100
670129;0,093300;0,602400;0,008300;2848,698000
863497;0,106100;0,945700;0,011200;4447,795500
996629;0,110300;0,858500;0,009900;5450,584900
588503;0,108800;0,749600;0,008200;2704,171200
828601;0,119700;0,612500;0,009200;4429,200900
748889;0,188500;0,677300;0,008300;2897,748600
552491;0,087100;0,596000;0,008900;3524,614900
531581;0,076500;0,751500;0,012600;3523,728000
573887;0,082700;0,820700;0,009900;2717,548900
1017607;0,110800;0,966400;0,009400;4795,859300
963899;0,121300;0,670500;0,008700;3918,973400
1630721;0,126800;1,363500;0,013800;17373,008800
1359097;0,121700;1,072400;0,011600;5023,388500
1130777;0,106600;0,806000;0,012200;4894,051000
1523329;0,128600;0,846500;0,009500;5174,901800
1948483;0,148300;0,997900;0,010500;7364,591600
1200253;0,190300;1,263200;0,010300;6719,371200
1968803;0,150900;1,325100;0,012600;13806,805000
1911961;0,144600;0,685700;0,009500;5452,550000
1984039;0,369500;1,629300;0,019600;5425,002700
1279123;0,122600;0,926800;0,009100;4750,555600
1086247;0,127700;0,714500;0,008900;3980,710100
1556491;0,138800;0,959500;0,010500;7278,986400
1245961;0,115100;0,835400;0,010100;5996,174100
1657231;0,150200;0,972700;0,010000;6037,093200
1908979;0,155500;0,880600;0,012100;6578,805600
1368617;0,119100;0,855800;0,009300;4698,868300
1500769;0,125200;1,058800;0,025000;5929,714300
2021647;0,151400;0,892000;0,011700;6143,674300
1721407;0,136100;0,783800;0,009500;5593,858400
1119913;0,110000;0,864800;0,009700;5845,743900
1569023;0,126000;0,939600;0,011300;4954,247500
1049227;0,105100;1,368500;0,011100;8413,839500
1532353;0,132700;0,917700;0,010200;5870,464000
1645529;0,131400;1,091000;0,012000;6405,651200
1112543;0,108400;0,771800;0,009200;4568,097400
1109231;0,106800;0,968200;0,009900;5879,234900
1887133;0,146500;0,986700;0,009700;5396,655700
1743613;0,145800;0,770300;0,009400;5032,891900
1147463;0,109100;0,978600;0,009700;4605,483600
1362937;0,127300;0,783000;0,009000;4167,649200
1188917;0,111200;0,692300;0,009600;4637,753100
1095947;0,115000;0,658000;0,009800;4131,077300
1094567;0,108200;1,081700;0,010200;5918,412700
1398329;0,120200;0,987300;0,010700;6815,772700
1374613;0,211100;0,950400;0,009000;4148,027200
1438751;0,129100;1,034100;0,011200;8560,267100
1171033;0,121500;1,144100;0,011000;8364,883900
2054131;0,150300;0,933100;0,010400;7366,442100
1726379;0,179600;0,763800;0,009800;5352,293100
1318831;0,115700;0,880000;0,009300;4709,704500
2080913;0,143100;0,955200;0,009700;6145,515200
1702009;0,132500;0,752800;0,009800;6063,977500
1316591;0,124600;0,716700;0,008800;4134,469000
